movie_id,department,gender,job,name
5,Directing,1.0,Director,Allison Anders
14,Directing,1.0,Script Supervisor,Ana Maria Quintana
20,Directing,1.0,Director,Isabel Coixet
22,Directing,1.0,Second Assistant Director,Susan J. Hellmann
38,Directing,1.0,Script Supervisor,Mary Cybulski
65,Directing,1.0,Script Supervisor,Eva Z. Cabrera
69,Directing,1.0,Script Supervisor,Sheila Waldron
74,Directing,1.0,Script Supervisor,Ana Maria Quintana
82,Directing,1.0,Script Supervisor,Pamela Alch
90,Directing,1.0,Script Supervisor,Betty Goldberg
95,Directing,1.0,Script Supervisor,Karen Golden
96,Directing,1.0,Script Supervisor,Betty A. Griffin
102,Directing,1.0,Director,Susanne Bier
103,Directing,1.0,Script Supervisor,Kay Chapin
112,Directing,1.0,Director,Lone Scherfig
118,Directing,1.0,Script Supervisor,Nikki Clapp
132,Directing,1.0,Director,Charlotte Zwerin
137,Directing,1.0,Script Supervisor,Judi Townsend
148,Directing,1.0,Director,Isabel Coixet
153,Directing,1.0,Director,Sofia Coppola
153,Directing,1.0,Script Supervisor,Eva Z. Cabrera
156,Directing,1.0,Director,Lone Scherfig
161,Directing,1.0,Script Supervisor,Annie Welles
163,Directing,1.0,Script Supervisor,Annie Welles
167,Directing,1.0,Script Supervisor,Karen Golden
176,Directing,1.0,Script Supervisor,Jillian Giacomini
179,Directing,1.0,Script Supervisor,Dianne Dreyer
180,Directing,1.0,Script Supervisor,Ana Maria Quintana
187,Directing,1.0,Script Supervisor,Monika Petrillo
189,Directing,1.0,Script Supervisor,Monika Petrillo
205,Directing,1.0,Script Supervisor,Lisa Vick
231,Directing,1.0,Script Supervisor,Mary Cybulski
260,Directing,1.0,Script Supervisor,Alma Reville
281,Directing,1.0,Director,Kathryn Bigelow
285,Directing,1.0,Script Supervisor,Pamela Alch
285,Directing,1.0,Script Supervisor,Sharron Reynolds
285,Directing,1.0,Script Supervisor,Karen Golden
287,Directing,1.0,Script Supervisor,Karen Golden
294,Directing,1.0,Director,Donna Deitch
297,Directing,1.0,Script Supervisor,Lisa Katcher
298,Directing,1.0,Script Supervisor,Annie Welles
312,Directing,1.0,Director,Caroline Link
314,Directing,1.0,Script Supervisor,Cristina Weigmann
